sst_predict,sst_real
5.547999999999997,4.4
5.392000000000004,5.6
5.013999999999999,4.4
5.119999999999999,5.8
5.2849999999999975,4.0
5.316000000000002,5.8
5.6610000000000005,4.8
5.074999999999998,6.0
5.431000000000001,5.0
5.120000000000001,5.4
5.233999999999998,4.3
5.439000000000001,6.0
5.218999999999999,4.7
5.107999999999999,6.0
5.31,4.6
5.203000000000002,5.4
5.301000000000001,4.6
5.077000000000001,5.8
5.806999999999999,4.5
5.389999999999999,6.0
5.215,4.5
4.904,5.2
5.608000000000002,4.9
4.867000000000002,5.8
5.186000000000003,4.7
4.796000000000001,5.9
5.5310000000000015,4.5
5.3279999999999985,5.6
5.159000000000002,4.6
4.728,5.8
4.987000000000002,5.3
4.643999999999999,5.8
5.002,4.9
6.259999999999999,6.0
6.02,5.1
5.695999999999999,6.2
6.0870000000000015,5.2
5.579999999999997,5.1
5.530999999999999,7.0
5.669,6.4
5.621,4.6
6.186999999999999,5.8
5.646,6.0
5.812999999999999,6.8
5.741999999999999,6.3
5.54,6.8
5.782,6.4
5.728999999999997,6.0
5.827000000000001,5.8
5.410999999999998,5.8
6.040999999999998,5.4
5.676000000000001,5.5
5.547999999999997,6.0
5.711999999999998,5.8
5.899999999999999,6.0
5.470999999999992,6.0
5.702999999999999,6.2
5.8619999999999965,6.2
6.290999999999998,6.0
5.1869999999999985,5.4
5.8409999999999975,6.0
5.9430000000000005,5.0
5.5500000000000025,5.4
5.8439999999999985,5.2
5.4709999999999965,5.8
5.6960000000000015,5.0
5.5740000000000025,6.0
5.8370000000000015,5.8
5.661999999999997,5.2
5.714999999999997,5.6
6.201999999999999,5.8
5.706,5.8
5.407000000000003,5.8
5.872999999999997,5.9
5.696999999999999,6.0
5.707000000000002,5.6
5.751999999999999,5.4
5.850000000000001,5.8
5.5219999999999985,6.2
5.972,5.8
5.680999999999999,6.0
5.958999999999995,6.0
5.714000000000001,6.0
5.571999999999999,5.4
5.722,5.6
5.811,6.0
5.3039999999999985,6.0
5.654000000000003,5.4
5.787000000000001,5.4
5.888,5.6
5.762999999999997,6.0
5.809,5.8
5.685,5.6
6.009,5.0
5.558,6.8
5.745999999999998,5.0
5.477999999999998,5.2
5.6469999999999985,5.0
5.615,5.2
5.517,5.4
5.337000000000001,5.0
5.5280000000000005,5.2
5.386999999999996,5.0
5.856999999999998,5.4
5.448999999999996,5.2
5.643,5.4
5.426999999999996,5.4
