firmeza_predict,firmeza_real
116.2214999999999,152.6
117.18999999999996,129.85
119.70449999999987,143.25
107.366,132.85
119.50749999999992,100.1
121.8995,117.6
117.27549999999997,129.1
124.08599999999998,104.95
129.00799999999998,109.8
112.28300000000004,107.8
123.36099999999996,104.8
125.50149999999994,105.65
117.93049999999997,141.15
128.61250000000004,135.15
121.0565,124.65
125.43349999999997,124.6
127.20450000000002,122.6
122.09450000000004,138.6
126.55050000000004,140.8
122.31750000000004,130.5
124.2055,135.45
127.99550000000004,124.1
127.58850000000004,108.3
119.508,121.2
121.90199999999996,121.75
122.9144999999999,125.2
126.45200000000007,112.0
117.80849999999998,129.35
119.69749999999996,150.5
125.5535,113.6
116.97349999999987,124.95
117.55800000000004,129.75
134.59749999999997,142.9
121.367,127.0
125.13849999999998,149.45
128.17449999999997,125.85
127.85300000000014,127.9
116.171,143.4
121.391,136.5
122.04049999999992,127.05
122.53150000000004,115.0
121.2555,119.55
121.6505,113.3
116.59699999999994,119.45
126.25850000000004,135.2
118.95500000000004,120.8
119.65950000000008,105.4
121.41150000000002,146.55
123.23100000000004,131.05
116.58199999999992,109.8
124.34099999999998,133.2
116.31599999999996,116.95
126.70349999999986,100.85
123.98900000000003,112.0
117.53700000000002,136.35
126.09649999999996,120.2
125.16149999999996,124.9
122.07150000000004,115.05
118.1005,110.7
128.05450000000008,108.9
117.72699999999998,127.85
133.403,105.75
122.78049999999992,115.15
123.68549999999998,118.45
120.21250000000008,109.3
125.7965,110.2
127.88949999999996,125.45
122.92300000000007,110.15
121.482,114.15
123.01399999999998,126.6
120.50999999999998,107.95
127.27550000000004,129.75
122.88850000000008,133.05
122.08999999999992,145.7
134.11249999999993,116.45
120.24500000000008,121.7
133.92999999999998,92.7
130.7270000000001,138.55
121.10349999999993,105.75
141.3235,98.25
128.5500000000001,125.05
139.90050000000008,134.95
131.145,85.6
118.085,109.65
124.90300000000003,126.0
121.24649999999993,113.95
119.80549999999992,144.7
126.8025,154.55
125.486,114.4
120.08800000000008,108.8
130.64999999999998,139.85
134.11450000000002,123.75
131.845,140.2
123.62549999999996,122.55
133.69299999999993,131.55
138.678,131.05
129.94500000000002,141.5
120.43249999999996,146.05
121.67899999999996,137.45
128.14100000000005,161.15
131.4655,127.6
129.01850000000005,164.9
127.17100000000006,130.6
125.03500000000004,162.65
120.54099999999997,111.65
134.03100000000003,118.15
131.50700000000003,131.95
128.484,142.6
121.012,135.6
124.14950000000013,139.25
137.31850000000003,151.85
131.9915,140.3
127.99850000000008,148.85
120.12899999999998,102.65
138.52300000000002,111.2
126.79700000000008,114.95
133.786,122.35
137.424,128.65
127.66500000000003,116.5
119.20550000000004,116.0
130.20699999999997,99.4
126.44250000000008,131.1
127.39549999999994,118.5
133.03699999999992,117.35
129.97750000000005,131.3
124.06899999999992,124.15
123.7899999999999,103.5
122.91849999999997,120.55
125.25700000000002,108.15
132.459,122.95
136.16299999999998,130.15
124.61,118.65
139.20350000000005,154.55
134.67350000000002,148.0
142.1625,133.7
139.22899999999998,153.65
143.77149999999997,138.35
126.2895,142.2
144.97250000000003,131.7
140.78850000000008,143.95
153.80550000000005,146.1
137.15249999999997,125.4
130.31349999999998,157.7
135.00050000000002,125.6
135.0215000000001,154.2
139.91849999999997,180.35
151.49600000000004,164.45
136.66699999999997,130.2
143.55399999999997,160.8
140.14700000000002,128.25
137.87249999999997,145.9
134.67050000000003,150.7
143.38249999999996,150.65
131.26499999999996,137.2
