massa_predict,massa_real
464.41026822915535,434.56
469.6509790127495,437.46
435.0557205473603,397.35
462.5182480413546,450.33
463.7837054450009,437.82
472.0738578792948,405.82
508.8147191931186,440.7
470.9063265719387,497.77
436.81949059395197,437.81
437.1846601418303,416.99
453.08303771981474,417.0
468.95355912113513,439.45
501.4576459537979,464.16
517.484508995447,476.92
411.11615367352096,376.18
444.9429169752226,394.32
424.80502021473984,380.24
421.9204447100152,420.7
523.2021222223525,494.66
529.5965014640483,503.0
436.7330032808442,425.41
568.0584111524628,569.79
517.2748722803383,506.0
519.7794400201793,503.9
499.76062524816393,488.9
516.4784093976243,510.34
508.45675779254316,490.83
506.5582363899581,494.71
567.0188990521738,557.87
526.7153284366162,514.39
481.26327521419813,454.54
533.3863561872226,510.76
505.0752567814114,483.34
511.7194797382184,501.59
512.4324613615801,496.71
530.1537853491741,513.1
517.6058728287181,501.42
598.8545175496803,603.39
536.5904183815321,509.41
463.9956561056054,449.02
540.8860375069521,526.59
472.8259552391436,470.0
486.49878986485817,464.26
525.1712483789879,508.24
545.4161727636329,529.96
523.1492583720353,514.57
521.4101099303833,499.06
501.81522200951247,478.26
541.3927515903724,535.95
534.2424814724317,527.21
484.6069554950161,463.42
477.4567316784416,459.3
498.22618643209603,496.27
484.4089692951337,456.11
550.6333964081825,538.99
498.60999583338884,486.59
536.6635544499968,522.57
537.8288321809636,527.3
522.913018671391,513.69
527.6029405204713,511.14
517.8806379601009,500.28
489.9631685635904,476.37
626.1075373250221,629.86
489.34921070021437,505.09
513.7940208049922,489.13
507.46137997486227,495.6
567.243291240527,524.37
493.0458866749785,474.62
498.7031224332325,479.8
508.9767534448989,572.6
565.7875761844523,493.03
458.1730921033328,438.54
500.23190973955076,480.62
526.646610498804,505.18
558.1576380835763,542.95
500.21556338212935,451.48
498.2801536322864,473.93
505.36272381606386,488.11
529.3467836908467,508.79
465.00102072075134,446.67
551.3409826913228,538.31
486.2608203526753,471.59
549.6620215746317,552.13
527.9961370943535,505.9
521.8435837331987,517.62
552.1250723128435,532.05
595.5338126312762,565.59
563.9216655612331,561.65
567.9613859232742,560.49
500.39721568171234,483.73
519.5185477144612,509.38
518.9766180203974,493.98
624.3121160564727,589.64
591.0887077521899,587.63
509.5252908421943,487.49
581.9771280696139,553.84
491.0227260632462,474.61
494.5186520589037,512.03
559.8578960818036,548.19
485.1999153483334,473.17
474.2862142737821,448.52
514.9557833265711,505.39
501.7570000818338,513.85
527.5295090307922,534.82
536.3201678972989,556.81
