massa_predict,massa_real
234.25819999999982,235.17
168.29969999999994,181.56
221.42049999999992,216.87
180.37230000000008,178.34
196.2549000000001,191.13
156.44119999999995,162.22
177.19519999999991,177.95
194.4544,185.14
200.28229999999996,198.69
204.31489999999988,203.0
238.01309999999995,235.48
186.30089999999996,187.8
207.44139999999987,213.26
225.02570000000003,219.77
293.0112000000002,302.48
271.4178,26.7
206.0681000000001,255.82
303.0175000000001,306.27
308.3640000000001,293.88
299.0623000000003,308.68
375.7070000000003,356.74
325.9004000000004,331.68
292.27630000000033,289.96
295.7471000000002,296.4
318.9932000000001,307.65
327.8678000000004,327.88
335.0581000000005,322.3
296.0813,294.56
352.59140000000014,327.64
310.9406000000002,298.93
305.9462000000001,299.11
314.4889000000003,307.0
321.64340000000044,342.31
295.6582000000003,298.52
336.7370000000002,326.29
336.7726000000005,330.52
376.7135000000002,379.54
373.48470000000015,356.41
224.90700000000007,275.41
374.26520000000016,336.38
291.1498000000002,299.69
310.3069000000002,310.29
334.4672000000001,319.61
293.5679000000003,291.83
333.81470000000047,325.15
295.60530000000017,294.24
279.44630000000006,300.4
338.56080000000014,324.52
334.7085000000003,325.33
307.61120000000017,308.23
261.4111,288.63
268.4102000000002,270.1
245.39980000000003,245.45
317.9730000000003,322.61
300.4245,290.19
293.7088000000004,290.92
257.50189999999986,263.7
311.7536000000003,317.08
293.0257,280.59
292.3097,289.49
273.50140000000005,280.13
294.10080000000016,292.28
291.9070000000002,293.66
250.11750000000012,248.97
224.98420000000007,259.86
313.0394000000004,315.11
300.9916000000004,313.21
299.1222,297.86
294.2805999999999,286.33
296.5445000000003,301.85
308.61560000000014,312.54
276.35910000000007,291.88
321.41090000000037,322.2
304.92000000000024,298.83
545.2384000000002,526.45
443.0234,439.75
445.0604999999998,457.97
477.4440999999998,477.46
479.8617,477.18
456.6016999999998,440.15
440.84449999999987,437.43
442.1147,449.77
475.08630000000016,465.46
443.72710000000006,405.73
456.0729,452.2
421.29019999999986,408.8
457.25969999999984,434.09
409.0991000000001,403.47
439.24219999999985,427.69
421.64400000000006,422.72
379.8033000000003,391.55
435.9395999999999,433.25
435.62250000000006,426.15
478.39709999999985,481.91
485.2530999999996,463.26
417.56720000000007,405.84
502.20709999999985,526.14
448.8342000000002,486.53
408.26350000000014,397.9
394.4145000000003,386.68
330.2787000000003,457.48
440.2211,418.91
410.03850000000006,405.84
477.79710000000017,467.98
373.00230000000016,372.08
456.71999999999986,431.69
418.5517,421.13
414.72439999999983,412.86
452.8432999999997,473.38
451.3869,462.73
438.5804999999999,403.14
515.7579000000002,480.92
440.1080000000002,423.45
454.6918000000003,434.56
429.16439999999983,437.46
410.87630000000007,397.35
444.4762,450.33
449.52310000000017,437.82
455.25320000000016,405.82
495.17519999999985,440.7
455.22259999999983,497.77
427.5840999999999,437.81
420.55579999999986,416.99
428.40849999999983,417.0
445.2316,439.45
494.3986999999996,464.16
494.9231999999996,476.92
397.3473000000001,376.18
418.7460000000002,394.32
408.15900000000016,380.24
403.6338,420.7
505.01339999999976,494.66
508.20460000000014,503.0
438.39770000000016,425.41
572.0243999999997,569.79
502.2569999999997,506.0
496.51649999999984,503.9
478.04260000000016,488.9
507.8918,510.34
489.2262999999997,490.83
493.52499999999986,494.71
552.3058999999998,557.87
509.0546,514.39
464.8908,454.54
526.8396999999994,510.76
499.63229999999976,483.34
484.7749,501.59
495.4656999999997,496.71
524.1833999999999,513.1
498.2588999999997,501.42
602.0685999999996,603.39
528.8764999999996,509.41
451.3833,449.02
528.8555999999999,526.59
471.9377,470.0
463.07410000000016,464.26
511.934,508.24
525.2131999999996,529.96
505.99700000000007,514.57
500.41209999999984,499.06
492.95379999999983,478.26
534.0873,535.95
525.3672,527.21
462.9345000000001,463.42
456.3139,459.3
475.69699999999983,496.27
472.0036,456.11
549.2213999999999,538.99
480.7066,486.59
522.0798999999996,522.57
517.1889999999996,527.3
516.2297999999998,513.69
508.6559,511.14
502.4115999999997,500.28
487.1103000000003,476.37
613.1344,629.86
468.32980000000015,505.09
496.7343999999998,489.13
481.66989999999976,495.6
557.7211999999996,524.37
481.30189999999993,474.62
485.69720000000007,479.8
488.3231999999999,572.6
557.5248000000004,493.03
447.94070000000005,438.54
490.49629999999985,480.62
517.2532999999999,505.18
552.3084999999999,542.95
487.28150000000016,451.48
484.9807000000001,473.93
497.63669999999985,488.11
526.0566000000001,508.79
447.93120000000016,446.67
537.2115000000001,538.31
482.7791999999997,471.59
556.4725999999998,552.13
516.057,505.9
527.7345000000003,517.62
546.7819,532.05
589.9504999999998,565.59
540.8622000000001,561.65
581.1557999999994,560.49
485.5696,483.73
503.67969999999985,509.38
501.08669999999984,493.98
611.3615199999998,589.64
601.3666999999998,587.63
495.7207999999997,487.49
592.0089,553.84
481.69330000000014,474.61
483.6152,512.03
552.4382999999998,548.19
486.83259999999984,473.17
468.6935999999996,448.52
507.44300000000015,505.39
489.6648999999995,513.85
512.6068999999999,534.82
522.6050999999999,556.81
542.2123999999999,518.43
466.03189999999984,450.67
625.6745999999998,599.22
491.2665000000005,469.72
540.0966999999997,509.27
597.5429999999997,570.25
504.6725999999999,501.31
480.60220000000015,478.73
589.3804999999994,573.59
522.3671999999997,516.2
525.0790999999998,513.04
519.2944999999999,510.49
552.7262999999997,532.42
486.9548000000004,472.26
561.0565,540.84
604.8895000000006,618.94
582.0602999999996,584.59
539.1448999999999,558.29
456.13009999999963,472.41
506.45199999999977,481.26
573.9440999999994,609.71
507.5309,524.69
590.6246999999994,577.51
430.11210000000017,430.79
502.7597,512.79
477.30080000000015,476.0
